machineNo,record_timestamp,spindle_speed_set,spindle_speed_full_yarn,raw_head_speed,draft_ratio,character_coeff,bobbin_coeff,layer_thickness,roving_twist,bobbin_diameter,fixed_length,roving_quantity,pressure_palm_laps,winding_density,form_length,form_angle,reversing_forbid,intubation_position,raw_head_position,stop_position,top_correction,bottom_correction,above_keel_refueling_time_interval,below_keel_refueling_time_interval,nozzle_filling_duration,cone_top_position,dolly_position,take_full_yarn_above_reversing_position,take_full_yarn_below_stop_position,release_full_yarn_above_reversing_position,release_full_yarn_below_stop_position,take_black_bobbin_below_stop_position,take_black_bobbin_above_reversing_position,shake_position,release_black_bobbin_below_stop_position,release_black_bobbin_above_reversing_position,stop_length,return_yarn_length,winding_position,immediate_full_yarn_return_length,advance_parking_length,forbid_adjustment_coeff,blow_suction_air_motor_interval_time,blow_suction_air_motor_continue_time,doffing_process_setting,full_yarn_return_yarn_coeff,full_yarn_twisting_time
2,2015-10-12 13:45:57.747,1200,1050,800,1.02,0.45,0.70,0.38,36.50,44.30,3200,13,2,3.70,360,30,10,45,97,260,0,20,20,20,5,65,258,364,5,348,225,348,5,335,364,258,390,260,320,240,10,1,3,5,1000,100,250
5,2015-10-12 13:46:04.250,1050,1000,800,1.02,0.45,0.70,0.39,35.50,44.60,3200,13,2,3.70,350,30,10,45,99,280,0,19,20,20,5,70,260,364,5,348,231,348,5,340,364,260,390,550,320,300,20,1,3,5,1000,100,750
4,2015-10-12 13:46:06.537,1200,1050,800,1.02,0.45,0.70,0.38,35.50,44.60,3200,13,2,3.70,365,30,10,45,100,280,0,27,20,20,5,65,264,367,5,349,230,349,5,340,367,264,390,260,320,200,20,1,2,5,1000,100,240
1,2015-10-12 13:46:14.767,1200,1050,800,1.02,0.45,0.70,0.38,36.50,44.60,3200,13,2,3.70,360,30,10,45,101,260,10,30,20,20,5,70,261,371,5,357,231,357,5,330,371,261,390,260,320,200,20,1,5,5,1000,100,225
3,2015-10-13 17:40:32.797,1050,1000,800,1.02,0.45,0.70,0.38,35.50,44.40,3200,13,2,3.70,365,30,10,45,95,260,0,23,20,20,5,70,262,366,5,350,231,350,5,339,366,262,390,280,320,200,20,1,3,4,1000,100,225
3,2015-10-14 10:05:23.520,1200,1050,800,1.02,0.45,0.70,0.38,35.50,44.40,3200,13,2,3.70,365,30,10,45,95,260,0,23,20,20,5,70,262,366,5,350,231,350,5,339,366,262,390,280,320,200,20,1,3,4,1000,100,225
4,2015-10-14 15:50:02.417,1200,1050,800,1.02,0.45,0.70,0.38,35.50,44.60,3200,13,2,3.70,365,30,10,45,100,280,0,27,20,20,5,65,264,367,5,349,230,349,5,340,367,264,390,240,320,200,20,1,2,5,1000,100,240
5,2015-10-15 08:24:17.103,1200,1000,800,1.02,0.45,0.70,0.39,35.50,44.60,3200,13,2,3.70,350,30,10,45,99,280,0,19,20,20,5,70,260,364,5,348,231,348,5,340,364,260,390,550,320,300,20,1,3,5,1000,100,750
5,2015-10-15 08:27:05.370,1200,1000,800,1.02,0.45,0.70,0.38,35.50,44.60,3200,13,2,3.70,350,30,10,45,99,280,0,19,20,20,5,70,260,364,5,348,231,348,5,340,364,260,390,550,320,300,20,1,3,5,1000,100,750
5,2015-10-15 08:27:47.283,1200,1000,800,1.02,0.45,0.70,0.40,35.50,44.60,3200,13,2,3.70,350,30,10,45,99,280,0,19,20,20,5,70,260,364,5,348,231,348,5,340,364,260,390,550,320,300,20,1,3,5,1000,100,750
