record_timestamp,machineNo,machine_identifier,machine_serial,screen_saver,language_setting,machine_drive_lr,length_unit_of_measure,weight_unit_of_measure,count_unit_of_measure,yarn_clearer_type,machine_mode,sensor_negtive_pressure,cleaning_fan_interval,cleaning_fan_rounds,tube_conveyor_method,tube_conveyor_interval,tube_conveyor_interval_count,package_unload_belt,division_amount,position_amount,group_amount,day_of_week,class_amount
2015-10-12 12:34:51.050,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-12 12:35:26.950,5,1,0,1,0,1,0,0,1,0,5,40,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-12 12:36:01.377,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,1,3
2015-10-12 12:36:35.647,7,1,0,2,0,0,0,0,1,0,5,45,0,0,0,0.1,1,1,1,60,1,1,3
2015-10-12 12:37:09.950,8,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,1,3
2015-10-12 12:37:44.650,9,9,201502,1,0,1,0,0,1,0,5,47,0,0,0,0.1,1,1,1,60,1,1,3
2015-10-12 12:38:19.330,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,1,3
2015-10-13 09:07:08.563,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-13 10:03:49.253,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,2,3
2015-10-13 12:25:56.080,7,1,0,2,0,0,0,0,1,0,5,45,0,0,0,0.1,1,1,1,60,1,2,3
2015-10-13 16:05:07.720,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-13 16:25:30.223,5,1,0,1,0,1,0,0,1,0,5,40,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-13 17:26:10.397,4,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-13 20:37:45.097,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,2,3
2015-10-14 14:13:52.460,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-14 15:08:30.503,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-14 15:09:04.403,4,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-14 15:20:02.733,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-14 15:24:28.217,4,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-14 15:37:31.787,5,1,0,1,0,1,0,0,1,0,5,40,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-14 15:42:01.370,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,3,3
2015-10-14 15:49:08.233,7,1,0,2,0,0,0,0,1,0,5,45,0,0,0,0.1,1,1,1,60,1,3,3
2015-10-14 15:49:42.717,8,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-14 15:54:12.013,9,9,201502,1,0,1,0,0,1,0,5,47,0,0,0,0.1,1,1,1,60,1,3,3
2015-10-14 15:58:37.680,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,3,3
2015-10-14 16:54:25.743,4,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,3,3
2015-10-15 07:40:34.727,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,4,3
2015-10-15 08:06:17.020,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,4,3
